TIMESTAMP: 2019-05-02_08_50_22

  Balintawak             0             0
     Kaingin             0             0
       Muñoz             0             1
 Bansalangin             1             0
       North             0             0
     Trinoma             0             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             0             0
       Monte             2             1
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             0
    Santolan             2             0
       White             2             1
     Ortigas             2             0
          SM             2             0
        Shaw             2             0
    Reliance             2             1
     Pioneer             2             1
   Guadalupe             1             1
      Orense             0             0
    Kalayaan             1             0
     Buendia             1             2
       Ayala             0             2
      Arnaiz             0             2
  Magallanes             0             2
     Malibay             1             0
       Tramo             0             0
        Taft             0             1
        F.B.             0             0
       Roxas             1             2
   Macapagal             1             2
        Mall             0             0
