TIMESTAMP: 2019-05-04_13_07_37

  Balintawak             0             2
     Kaingin             0             1
       Muñoz             2             0
 Bansalangin             2             1
       North             0             2
     Trinoma             0             2
      Quezon             0             2
         NIA             0             0
       Timog             1             1
    Kamuning             2             0
         New             2             0
       Monte             2             0
      Aurora             0             1
          Mc             0             1
          P.             0             2
        Main             0             1
    Santolan             2             2
       White             2             0
     Ortigas             0             0
          SM             0             1
        Shaw             1             2
    Reliance             1             2
     Pioneer             0             1
   Guadalupe             0             2
      Orense             0             2
    Kalayaan             0             2
     Buendia             0             2
       Ayala             0             0
      Arnaiz             0             0
  Magallanes             2             1
     Malibay             1             0
       Tramo             1             0
        Taft             0             2
        F.B.             0             2
       Roxas             0             2
   Macapagal             0             2
        Mall             0             0
