TIMESTAMP: 2019-05-02_11_07_13

  Balintawak             0             2
     Kaingin             0             0
       Muñoz             1             0
 Bansalangin             1             1
       North             0             0
     Trinoma             0             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             2             0
       Monte             2             1
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             1
    Santolan             2             1
       White             2             0
     Ortigas             0             0
          SM             2             2
        Shaw             2             2
    Reliance             2             0
     Pioneer             2             1
   Guadalupe             1             2
      Orense             0             2
    Kalayaan             1             2
     Buendia             1             2
       Ayala             0             2
      Arnaiz             0             2
  Magallanes             0             1
     Malibay             1             0
       Tramo             1             0
        Taft             1             2
        F.B.             0             1
       Roxas             1             1
   Macapagal             2             2
        Mall             0             0
