TIMESTAMP: 2019-04-29_22_20_20

  Balintawak             1             2
     Kaingin             0             0
       Muñoz             1             2
 Bansalangin             0             2
       North             0             2
     Trinoma             1             2
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             0             0
       Monte             0             2
      Aurora             0             2
          Mc             0             2
          P.             0             2
        Main             0             1
    Santolan             0             2
       White             0             0
     Ortigas             0             1
          SM             0             2
        Shaw             0             2
    Reliance             0             2
     Pioneer             0             1
   Guadalupe             0             2
      Orense             0             0
    Kalayaan             0             0
     Buendia             1             0
       Ayala             1             1
      Arnaiz             0             0
  Magallanes             1             0
     Malibay             1             1
       Tramo             2             0
        Taft             2             2
        F.B.             0             1
       Roxas             1             2
   Macapagal             2             2
        Mall             0             0
