TIMESTAMP: 2019-05-03_13_00_53

  Balintawak             0             1
     Kaingin             0             0
       Muñoz             0             0
 Bansalangin             1             0
       North             0             0
     Trinoma             1             0
      Quezon             0             0
         NIA             0             0
       Timog             1             0
    Kamuning             2             0
         New             2             0
       Monte             2             0
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             1
    Santolan             2             0
       White             2             0
     Ortigas             0             0
          SM             2             2
        Shaw             2             2
    Reliance             2             2
     Pioneer             2             2
   Guadalupe             1             2
      Orense             0             2
    Kalayaan             0             2
     Buendia             1             2
       Ayala             0             0
      Arnaiz             0             1
  Magallanes             0             2
     Malibay             2             2
       Tramo             1             0
        Taft             1             2
        F.B.             0             2
       Roxas             2             1
   Macapagal             2             2
        Mall             0             0
