TIMESTAMP: 2019-05-03_08_38_33

  Balintawak             0             1
     Kaingin             0             0
       Muñoz             0             0
 Bansalangin             1             2
       North             0             2
     Trinoma             1             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             0             0
       Monte             0             0
      Aurora             1             0
          Mc             2             0
          P.             2             0
        Main             2             0
    Santolan             2             0
       White             2             0
     Ortigas             2             0
          SM             2             0
        Shaw             2             0
    Reliance             2             2
     Pioneer             2             2
   Guadalupe             1             2
      Orense             0             1
    Kalayaan             1             1
     Buendia             1             2
       Ayala             0             2
      Arnaiz             0             2
  Magallanes             0             2
     Malibay             1             2
       Tramo             0             0
        Taft             0             2
        F.B.             1             0
       Roxas             2             1
   Macapagal             2             2
        Mall             0             0
