TIMESTAMP: 2019-05-04_17_40_58

  Balintawak             1             1
     Kaingin             0             2
       Muñoz             2             2
 Bansalangin             1             2
       North             0             2
     Trinoma             0             2
      Quezon             2             2
         NIA             2             0
       Timog             2             0
    Kamuning             2             0
         New             2             1
       Monte             0             1
      Aurora             0             1
          Mc             0             2
          P.             0             2
        Main             0             1
    Santolan             0             0
       White             0             0
     Ortigas             0             0
          SM             0             2
        Shaw             0             2
    Reliance             1             2
     Pioneer             0             2
   Guadalupe             1             2
      Orense             0             2
    Kalayaan             1             2
     Buendia             0             1
       Ayala             1             1
      Arnaiz             0             0
  Magallanes             0             1
     Malibay             2             2
       Tramo             2             0
        Taft             0             2
        F.B.             0             2
       Roxas             2             2
   Macapagal             1             1
        Mall             1             1
