TIMESTAMP: 2019-05-02_21_15_05

  Balintawak             0             0
     Kaingin             0             0
       Muñoz             1             2
 Bansalangin             1             2
       North             0             2
     Trinoma             1             1
      Quezon             0             0
         NIA             0             1
       Timog             0             0
    Kamuning             0             1
         New             1             0
       Monte             0             1
      Aurora             0             2
          Mc             0             2
          P.             0             2
        Main             0             0
    Santolan             0             0
       White             0             0
     Ortigas             0             0
          SM             0             2
        Shaw             0             2
    Reliance             0             2
     Pioneer             1             2
   Guadalupe             0             2
      Orense             0             2
    Kalayaan             0             2
     Buendia             0             2
       Ayala             1             2
      Arnaiz             0             1
  Magallanes             1             0
     Malibay             1             2
       Tramo             0             1
        Taft             2             2
        F.B.             0             0
       Roxas             1             2
   Macapagal             2             2
        Mall             0             0
