TIMESTAMP: 2019-05-06_16_42_58

  Balintawak             0             0
     Kaingin             0             0
       Muñoz             0             0
 Bansalangin             2             2
       North             0             0
     Trinoma             0             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             0             1
       Monte             0             1
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             1
    Santolan             2             1
       White             2             0
     Ortigas             0             0
          SM             2             2
        Shaw             2             2
    Reliance             2             2
     Pioneer             2             2
   Guadalupe             1             2
      Orense             0             2
    Kalayaan             0             2
     Buendia             1             1
       Ayala             0             0
      Arnaiz             0             0
  Magallanes             0             0
     Malibay             2             0
       Tramo             2             0
        Taft             2             2
        F.B.             0             2
       Roxas             1             1
   Macapagal             1             2
        Mall             0             0
