TIMESTAMP: 2019-04-30_07_29_04

  Balintawak             0             0
     Kaingin             0             0
       Muñoz             0             1
 Bansalangin             1             0
       North             0             0
     Trinoma             1             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             0             0
       Monte             1             0
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             0
    Santolan             2             0
       White             2             0
     Ortigas             2             0
          SM             2             0
        Shaw             2             0
    Reliance             2             0
     Pioneer             2             1
   Guadalupe             0             1
      Orense             0             0
    Kalayaan             2             0
     Buendia             1             2
       Ayala             0             2
      Arnaiz             0             1
  Magallanes             0             1
     Malibay             0             0
       Tramo             0             2
        Taft             1             2
        F.B.             0             2
       Roxas             2             1
   Macapagal             2             2
        Mall             0             0
