TIMESTAMP: 2019-05-04_15_09_04

  Balintawak             0             2
     Kaingin             0             2
       Muñoz             2             1
 Bansalangin             1             2
       North             0             2
     Trinoma             0             2
      Quezon             0             2
         NIA             0             0
       Timog             1             0
    Kamuning             2             0
         New             2             1
       Monte             2             1
      Aurora             1             1
          Mc             2             2
          P.             2             2
        Main             0             1
    Santolan             2             2
       White             0             0
     Ortigas             0             0
          SM             0             2
        Shaw             0             2
    Reliance             0             2
     Pioneer             0             2
   Guadalupe             0             2
      Orense             0             2
    Kalayaan             0             2
     Buendia             0             2
       Ayala             0             0
      Arnaiz             0             0
  Magallanes             2             2
     Malibay             2             2
       Tramo             2             0
        Taft             0             2
        F.B.             0             2
       Roxas             2             2
   Macapagal             2             2
        Mall             1             0
