TIMESTAMP: 2019-05-06_13_25_51

  Balintawak             0             0
     Kaingin             0             0
       Muñoz             0             0
 Bansalangin             2             2
       North             0             0
     Trinoma             0             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             1
         New             0             0
       Monte             0             0
      Aurora             1             0
          Mc             2             0
          P.             2             0
        Main             2             0
    Santolan             2             0
       White             2             0
     Ortigas             0             0
          SM             2             2
        Shaw             2             2
    Reliance             2             2
     Pioneer             2             2
   Guadalupe             1             2
      Orense             0             2
    Kalayaan             0             2
     Buendia             1             1
       Ayala             0             0
      Arnaiz             0             0
  Magallanes             0             0
     Malibay             2             0
       Tramo             2             0
        Taft             2             2
        F.B.             0             2
       Roxas             1             1
   Macapagal             1             2
        Mall             0             0
