TIMESTAMP: 2019-04-29_16_19_56

  Balintawak             0             1
     Kaingin             0             1
       Muñoz             2             2
 Bansalangin             1             1
       North             0             2
     Trinoma             0             1
      Quezon             0             0
         NIA             0             0
       Timog             0             1
    Kamuning             0             1
         New             0             2
       Monte             0             2
      Aurora             1             2
          Mc             0             2
          P.             0             1
        Main             2             1
    Santolan             2             1
       White             2             0
     Ortigas             0             1
          SM             2             2
        Shaw             1             2
    Reliance             2             2
     Pioneer             1             2
   Guadalupe             2             2
      Orense             0             2
    Kalayaan             1             2
     Buendia             1             2
       Ayala             0             0
      Arnaiz             2             1
  Magallanes             1             0
     Malibay             2             0
       Tramo             2             0
        Taft             2             2
        F.B.             0             0
       Roxas             0             2
   Macapagal             2             2
        Mall             1             0
